CHAVE,NOME,AGENCIA,AGENCIA_NOME,CIDADE,DATA_ASSOCIACAO,DATA_VALIDA,RENDA_MENSAL,RENDA_INFORMADA,CONTA_CORRENTE,CARTAO,CREDITO,INVESTIMENTO,CONSORCIO,SEGURO,SALDO_MEDIO,PIX_MENSAL,COMPRAS_CARTAO,QTD_PRODUTOS,TEMPO_RELACIONAMENTO_ANOS,FAIXA_TEMPO,FAIXA_RENDA,INDICE_MOVIMENTACAO,SCORE_PRODUTOS,SCORE_TEMPO,SCORE_MOVIMENTACAO,SCORE_TOTAL,CLASSIFICACAO,OPORT_CROSS_SELL,OPORT_BAIXA_UTILIZACAO
50,Fernanda Sobrenome,3,Agencia 3,Pato Branco,2022-03-08,True,26620.0,True,True,True,False,False,False,False,153217,12,2499,2,4.48,3 a 5 anos,Acima de R$ 15.000,36.8,1,2,0,3,Em Desenvolvimento,True,True
51,Fernanda Sobrenome,2,Agencia 2,Maringa,2025-08-26,True,25791.0,True,False,True,True,True,True,True,69678,31,18022,5,1.01,Menos de 2 anos,Acima de R$ 15.000,44.8,2,0,1,3,Em Desenvolvimento,False,False
52,Paula Sobrenome,3,Agencia 3,Maringa,2026-05-28,True,4635.0,True,False,True,False,True,True,True,142938,95,6543,4,0.26,Menos de 2 anos,R$ 3.001 a R$ 8.000,60.3,2,0,2,4,Em Desenvolvimento,False,False
53,Amanda Sobrenome,4,Agencia 4,Pato Branco,2018-02-26,True,19044.0,True,True,False,True,False,False,False,58253,72,9023,2,8.51,Mais de 5 anos,Acima de R$ 15.000,40.9,1,3,1,5,Maduro,True,False
54,Carlos Sobrenome,3,Agencia 3,Toledo,2022-11-24,True,21174.0,True,True,True,True,True,True,True,85737,10,17521,6,3.76,3 a 5 anos,Acima de R$ 15.000,42.0,3,2,1,6,Maduro,False,False
55,Mariana Sobrenome,1,Agencia 1,Chapeco,2021-04-06,True,7206.0,True,True,False,False,False,True,True,213494,80,10862,3,5.4,Mais de 5 anos,R$ 3.001 a R$ 8.000,76.6,1,3,3,7,Engajado,False,False
56,Mariana Sobrenome,5,Agencia 5,Cascavel,2019-12-25,True,26065.0,True,False,False,False,False,False,True,36352,48,1214,1,6.68,Mais de 5 anos,Acima de R$ 15.000,21.9,0,3,0,3,Em Desenvolvimento,True,True
57,Ricardo Sobrenome,2,Agencia 2,Pato Branco,2022-09-22,True,18393.0,True,False,True,True,False,True,True,10399,53,12201,4,3.94,3 a 5 anos,Acima de R$ 15.000,31.1,2,2,0,4,Em Desenvolvimento,False,True
58,Carlos Sobrenome,1,Agencia 1,Pato Branco,2022-07-15,True,19838.0,True,False,True,False,True,False,True,237523,45,13205,3,4.13,3 a 5 anos,Acima de R$ 15.000,75.7,1,2,3,6,Maduro,False,False
59,Bruno Sobrenome,1,Agencia 1,Toledo,2021-05-10,True,11380.0,True,False,True,False,True,True,False,179113,86,3746,3,5.31,Mais de 5 anos,R$ 8.001 a R$ 15.000,61.9,1,3,2,6,Maduro,False,False
60,Mariana Sobrenome,5,Agencia 5,Maringa,2023-11-14,True,29767.0,True,False,False,True,True,False,True,132571,63,19104,3,2.79,2 a 3 anos,Acima de R$ 15.000,66.4,1,1,3,5,Maduro,False,False
61,Paula Sobrenome,3,Agencia 3,Pato Branco,2021-03-08,True,29222.0,True,True,False,False,False,False,False,178909,68,3037,1,5.48,Mais de 5 anos,Acima de R$ 15.000,56.9,0,3,2,5,Maduro,True,False
62,Ricardo Sobrenome,2,Agencia 2,Maringa,2022-04-07,True,28543.0,True,True,False,False,True,False,False,20477,25,7505,2,4.4,3 a 5 anos,Acima de R$ 15.000,20.4,1,2,0,3,Em Desenvolvimento,True,True
63,Carlos Sobrenome,5,Agencia 5,Cascavel,2018-08-28,True,22547.0,True,True,False,True,False,True,True,156258,46,5534,4,8.01,Mais de 5 anos,Acima de R$ 15.000,50.6,2,3,2,7,Engajado,False,False
64,Mariana Sobrenome,2,Agencia 2,Chapeco,2021-04-07,True,2400.0,True,False,False,False,False,False,True,31621,19,15988,1,5.4,Mais de 5 anos,Ate R$ 3.000,31.4,0,3,0,3,Em Desenvolvimento,False,True
65,Lucas Sobrenome,4,Agencia 4,Pato Branco,2021-04-02,True,18920.0,True,False,True,True,False,False,False,147444,43,5372,2,5.41,Mais de 5 anos,Acima de R$ 15.000,47.6,1,3,1,5,Maduro,True,False
66,Ricardo Sobrenome,4,Agencia 4,Maringa,2022-01-14,True,14017.0,True,False,True,False,False,True,True,192676,67,2178,3,4.62,3 a 5 anos,R$ 8.001 a R$ 15.000,58.6,1,2,2,5,Maduro,False,False
67,Carlos Sobrenome,3,Agencia 3,Pato Branco,2018-05-21,True,8714.0,True,False,False,False,True,True,True,23855,87,14057,3,8.28,Mais de 5 anos,R$ 8.001 a R$ 15.000,44.9,1,3,1,5,Maduro,False,False
68,Joao Sobrenome,2,Agencia 2,Maringa,2026-05-17,True,29178.0,True,False,False,False,False,True,True,35409,9,17833,2,0.29,Menos de 2 anos,Acima de R$ 15.000,32.2,1,0,0,1,Inicial,True,True
69,Carlos Sobrenome,1,Agencia 1,Pato Branco,2018-11-07,True,21605.0,True,False,True,False,True,True,False,181204,53,9845,3,7.81,Mais de 5 anos,Acima de R$ 15.000,63.0,1,3,3,7,Engajado,False,False
70,Bruno Sobrenome,3,Agencia 3,Pato Branco,2026-04-24,True,20673.0,True,False,False,True,True,False,True,20544,28,12220,3,0.35,Menos de 2 anos,Acima de R$ 15.000,27.2,1,0,0,1,Inicial,False,True
71,Carlos Sobrenome,2,Agencia 2,Pato Branco,2025-10-13,True,20533.0,True,False,True,False,True,False,False,70580,64,8772,2,0.88,Menos de 2 anos,Acima de R$ 15.000,41.5,1,0,1,2,Inicial,True,False
72,Lucas Sobrenome,2,Agencia 2,Cascavel,2021-05-03,True,29930.0,True,True,False,False,True,False,False,121020,27,983,2,5.33,Mais de 5 anos,Acima de R$ 15.000,32.3,1,3,0,4,Em Desenvolvimento,True,True
73,Amanda Sobrenome,1,Agencia 1,Chapeco,2024-08-19,True,10355.0,True,False,True,True,True,True,True,130277,24,17341,5,2.03,2 a 3 anos,R$ 8.001 a R$ 15.000,53.8,2,1,2,5,Maduro,False,False
74,Amanda Sobrenome,5,Agencia 5,Pato Branco,2025-12-06,True,21191.0,True,True,True,False,False,False,True,209172,45,5434,3,0.73,Menos de 2 anos,Acima de R$ 15.000,60.6,1,0,2,3,Em Desenvolvimento,False,False
75,Lucas Sobrenome,5,Agencia 5,Pato Branco,2018-05-13,True,26165.0,True,True,False,False,False,False,False,84301,36,9401,1,8.3,Mais de 5 anos,Acima de R$ 15.000,38.4,0,3,1,4,Em Desenvolvimento,True,False
76,Bruno Sobrenome,3,Agencia 3,Cascavel,2023-12-09,True,22910.0,True,False,False,False,True,False,True,19461,58,7046,2,2.72,2 a 3 anos,Acima de R$ 15.000,28.0,1,1,0,2,Inicial,True,True
77,Lucas Sobrenome,1,Agencia 1,Chapeco,2021-09-04,True,,False,True,False,False,False,True,True,28150,4,1643,3,4.99,3 a 5 anos,Nao informado,9.2,1,2,0,3,Em Desenvolvimento,False,True
78,Juliana Sobrenome,5,Agencia 5,Cascavel,2025-02-28,True,4638.0,True,True,False,True,False,False,False,181331,32,19590,2,1.5,Menos de 2 anos,R$ 3.001 a R$ 8.000,69.7,1,0,3,4,Em Desenvolvimento,False,False
79,Lucas Sobrenome,3,Agencia 3,Pato Branco,2026-02-02,True,14546.0,True,False,False,True,False,False,True,225631,87,3839,2,0.57,Menos de 2 anos,R$ 8.001 a R$ 15.000,71.1,1,0,3,4,Em Desenvolvimento,False,False
80,Carlos Sobrenome,4,Agencia 4,Pato Branco,2026-02-10,True,14613.0,True,True,True,False,False,False,False,75207,46,268,2,0.55,Menos de 2 anos,R$ 8.001 a R$ 15.000,27.4,1,0,0,1,Inicial,False,True
81,Fernanda Sobrenome,3,Agencia 3,Chapeco,2024-05-04,True,2821.0,True,True,True,False,True,True,True,75848,73,10341,5,2.32,2 a 3 anos,Ate R$ 3.000,46.9,2,1,1,4,Em Desenvolvimento,False,False
82,Carlos Sobrenome,5,Agencia 5,Pato Branco,2018-04-27,True,20004.0,True,False,False,True,False,True,True,243028,32,17604,3,8.34,Mais de 5 anos,Acima de R$ 15.000,78.6,1,3,3,7,Engajado,False,False
83,Paula Sobrenome,2,Agencia 2,Chapeco,2026-08-09,True,5161.0,True,False,True,False,False,False,False,83603,81,17225,1,0.06,Menos de 2 anos,R$ 3.001 a R$ 8.000,58.5,0,0,2,2,Inicial,False,False
84,Amanda Sobrenome,2,Agencia 2,Maringa,2024-06-15,True,13741.0,True,False,True,False,True,True,True,101384,11,1825,4,2.21,2 a 3 anos,R$ 8.001 a R$ 15.000,24.9,2,1,0,3,Em Desenvolvimento,False,True
85,Mariana Sobrenome,1,Agencia 1,Chapeco,2018-07-25,True,16296.0,True,True,False,False,True,True,True,38234,29,17994,4,8.1,Mais de 5 anos,Acima de R$ 15.000,38.3,2,3,1,6,Maduro,False,False
86,Ricardo Sobrenome,5,Agencia 5,Cascavel,2018-08-08,True,27636.0,True,False,False,True,False,True,True,108350,79,17505,3,8.06,Mais de 5 anos,Acima de R$ 15.000,62.8,1,3,2,6,Maduro,False,False
87,Juliana Sobrenome,4,Agencia 4,Pato Branco,2021-12-06,True,13296.0,True,False,True,False,True,False,False,9935,15,5163,2,4.73,3 a 5 anos,R$ 8.001 a R$ 15.000,12.4,1,2,0,3,Em Desenvolvimento,False,True
88,Ricardo Sobrenome,5,Agencia 5,Cascavel,2018-04-28,True,25388.0,True,True,True,False,False,True,True,84475,60,17174,4,8.34,Mais de 5 anos,Acima de R$ 15.000,54.0,2,3,2,7,Engajado,False,False
89,Fernanda Sobrenome,4,Agencia 4,Pato Branco,2023-07-08,True,4744.0,True,True,False,True,True,True,False,122837,55,1939,4,3.15,3 a 5 anos,R$ 3.001 a R$ 8.000,41.2,2,2,1,5,Maduro,False,False
90,Paula Sobrenome,2,Agencia 2,Pato Branco,2023-08-18,True,9030.0,True,False,False,False,True,True,True,41744,79,15747,3,3.03,3 a 5 anos,R$ 8.001 a R$ 15.000,48.3,1,2,1,4,Em Desenvolvimento,False,False
91,Carlos Sobrenome,3,Agencia 3,Maringa,2024-09-16,True,25090.0,True,True,True,True,True,True,True,74659,97,479,6,1.95,Menos de 2 anos,Acima de R$ 15.000,39.8,3,0,1,4,Em Desenvolvimento,False,False
92,Juliana Sobrenome,2,Agencia 2,Toledo,2024-06-15,True,25263.0,True,False,True,False,True,False,False,99912,22,14831,2,2.21,2 a 3 anos,Acima de R$ 15.000,43.6,1,1,1,3,Em Desenvolvimento,True,False
93,Mariana Sobrenome,2,Agencia 2,Maringa,2023-05-09,True,16813.0,True,True,False,True,False,True,True,39296,26,12642,4,3.31,3 a 5 anos,Acima de R$ 15.000,31.0,2,2,0,4,Em Desenvolvimento,False,True
94,Fernanda Sobrenome,2,Agencia 2,Pato Branco,2021-04-14,True,29606.0,True,False,False,False,True,False,True,62189,23,7235,2,5.38,Mais de 5 anos,Acima de R$ 15.000,26.9,1,3,0,4,Em Desenvolvimento,True,True
95,Amanda Sobrenome,5,Agencia 5,Pato Branco,2024-05-07,True,22510.0,True,True,True,True,True,True,False,14555,56,17259,5,2.31,2 a 3 anos,Acima de R$ 15.000,38.9,2,1,1,4,Em Desenvolvimento,False,False
96,Joao Sobrenome,5,Agencia 5,Pato Branco,2019-10-14,True,23267.0,True,False,False,False,True,False,False,122871,66,12112,1,6.88,Mais de 5 anos,Acima de R$ 15.000,56.9,0,3,2,5,Maduro,True,False
97,Mariana Sobrenome,5,Agencia 5,Pato Branco,2020-05-25,True,20293.0,True,True,False,False,True,True,False,55982,100,11597,3,6.26,Mais de 5 anos,Acima de R$ 15.000,50.8,1,3,2,6,Maduro,False,False
98,Carlos Sobrenome,1,Agencia 1,Toledo,2020-11-07,True,26009.0,True,True,True,True,True,True,True,177586,86,6976,6,5.81,Mais de 5 anos,Acima de R$ 15.000,65.3,3,3,3,9,Engajado,False,False
99,Carlos Sobrenome,5,Agencia 5,Maringa,2022-06-01,True,23197.0,True,True,False,True,True,True,True,37526,37,6320,5,4.25,3 a 5 anos,Acima de R$ 15.000,25.5,2,2,0,4,Em Desenvolvimento,False,True
100,Amanda Sobrenome,1,Agencia 1,Pato Branco,2021-12-27,True,27734.0,True,True,True,True,False,True,False,83672,45,15716,4,4.67,3 a 5 anos,Acima de R$ 15.000,48.6,2,2,1,5,Maduro,False,False
101,Mariana Sobrenome,4,Agencia 4,Cascavel,2018-06-11,True,26422.0,True,True,False,False,False,True,False,168927,21,3840,2,8.22,Mais de 5 anos,Acima de R$ 15.000,43.4,1,3,1,5,Maduro,True,False
102,Lucas Sobrenome,3,Agencia 3,Toledo,2021-02-25,True,19691.0,True,True,True,False,False,True,True,211894,6,17379,4,5.51,Mais de 5 anos,Acima de R$ 15.000,65.7,2,3,3,8,Engajado,False,False
103,Carlos Sobrenome,1,Agencia 1,Cascavel,2023-09-17,True,24370.0,True,True,False,True,True,True,True,17865,8,12726,5,2.95,2 a 3 anos,Acima de R$ 15.000,22.0,2,1,0,3,Em Desenvolvimento,False,True
104,Bruno Sobrenome,1,Agencia 1,Pato Branco,2022-07-03,True,22046.0,True,True,True,False,False,True,False,184254,24,16957,3,4.16,3 a 5 anos,Acima de R$ 15.000,64.6,1,2,3,6,Maduro,False,False
105,Amanda Sobrenome,4,Agencia 4,Maringa,2019-01-14,True,19969.0,True,False,True,True,True,True,False,218122,63,17577,4,7.62,Mais de 5 anos,Acima de R$ 15.000,81.6,2,3,3,8,Engajado,False,False
106,Joao Sobrenome,2,Agencia 2,Pato Branco,2025-05-09,True,23863.0,True,True,False,False,False,False,True,143630,95,5335,2,1.31,Menos de 2 anos,Acima de R$ 15.000,59.2,1,0,2,3,Em Desenvolvimento,True,False
107,Lucas Sobrenome,5,Agencia 5,Toledo,2020-12-05,True,13925.0,True,False,False,False,True,False,False,211965,86,6222,1,5.73,Mais de 5 anos,R$ 8.001 a R$ 15.000,71.5,0,3,3,6,Maduro,False,False
108,Juliana Sobrenome,4,Agencia 4,Chapeco,2026-08-14,True,18453.0,True,False,True,True,True,True,True,158594,76,7164,5,0.04,Menos de 2 anos,Acima de R$ 15.000,59.6,2,0,2,4,Em Desenvolvimento,False,False
109,Lucas Sobrenome,4,Agencia 4,Cascavel,2021-05-04,True,15368.0,True,False,False,False,True,True,True,237159,27,16873,3,5.32,Mais de 5 anos,Acima de R$ 15.000,75.2,1,3,3,7,Engajado,False,False
110,Mariana Sobrenome,4,Agencia 4,Chapeco,2023-08-25,True,2113.0,True,False,False,True,True,False,True,18393,35,7977,3,3.01,3 a 5 anos,Ate R$ 3.000,23.2,1,2,0,3,Em Desenvolvimento,False,True
111,Amanda Sobrenome,5,Agencia 5,Maringa,2024-03-07,True,17785.0,True,True,True,True,True,False,False,248649,81,14963,4,2.48,2 a 3 anos,Acima de R$ 15.000,88.3,2,1,3,6,Maduro,False,False
112,Bruno Sobrenome,2,Agencia 2,Pato Branco,,False,17077.0,True,True,False,True,True,False,False,1301,15,8568,3,,Nao informado,Acima de R$ 15.000,14.5,1,1,0,2,Inicial,False,True
113,Ricardo Sobrenome,3,Agencia 3,Cascavel,2020-05-24,True,19324.0,True,False,True,False,True,False,False,61460,29,541,2,6.27,Mais de 5 anos,Acima de R$ 15.000,20.4,1,3,0,4,Em Desenvolvimento,True,True
114,Bruno Sobrenome,4,Agencia 4,Pato Branco,2021-01-17,True,23152.0,True,True,False,False,True,True,True,94114,94,10641,4,5.62,Mais de 5 anos,Acima de R$ 15.000,55.5,2,3,2,7,Engajado,False,False
